Transcript > Id	Transcript > Length	Transcript > Source	Transcript > Blast Sequence Features > evalue	Transcript > Blast Sequence Features > Blast Domain > Symbol	Transcript > Blast Sequence Features > Blast Description	Transcript > Blast Sequence Features > Target Species
dd_Smed_v6_79562_0_1	438	PLDB	5.00E-12	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_81621_0_1	496	PLDB	4.00E-20	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_8421_0_1	2204	PLDB	6.00E-64	XRCC5 KARP-1 KARP1 KU80 KUB2 Ku86 NFIV	X-ray repair complementing defective repair in Chinese hamster cells 5	Homo sapiens
dd_Smed_v6_8462_0_1	12532	PLDB	1.00E-98	PRKDC DNA-PKcs DNAPK DNPK1 HYRC HYRC1 XRCC7 p350	"protein kinase, DNA-activated, catalytic polypeptide"	Homo sapiens
dd_Smed_v6_90147_0_1	239	PLDB	1.00E-08	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_9168_0_1	4955	PLDB	0	POLA1 NSX POLA p180	"polymerase (DNA) alpha 1, catalytic subunit"	Homo sapiens
dd_Smed_v6_95400_0_1	271	PLDB	2.00E-18	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_95472_0_1	261	PLDB	2.00E-17	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_95631_0_1	355	PLDB	1.00E-06	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
dd_Smed_v6_9619_0_1	947	PLDB	4.00E-51	ERCC1 COFS4 RAD10 UV20	excision repair cross-complementation group 1	Homo sapiens
dd_Smed_v6_98270_0_1	338	PLDB	2.00E-06	SETMAR HsMar1 METNASE Mar1	SET domain and mariner transposase fusion gene	Homo sapiens
