Transcript_Id	Length	Source	evalue	Blast_Symbol	Blast_Description	Target_Species
dd_Smed_v6_1050_0_1	1134	PLDB	5.00E-104	RAC2 EN-7 Gx HSPC022 p21-Rac2	"ras-related C3 botulinum toxin substrate 2 (rho family, small GTP binding protein Rac2)"	Homo sapiens
dd_Smed_v6_10704_0_1	1899	PLDB	3.00E-60	STK11 LKB1 PJS hLKB1	serine/threonine kinase 11	Homo sapiens
dd_Smed_v6_10725_0_1	1057	PLDB	6.00E-28	CCNH CAK CycH p34 p37	cyclin H	Homo sapiens
dd_Smed_v6_10816_0_1	1625	PLDB	1.00E-107	CDK9 C-2k CDC2L4 CTK1 PITALRE TAK	cyclin-dependent kinase 9	Homo sapiens
dd_Smed_v6_1081_0_1	1675	PLDB	7.00E-56	CNOT7 CAF1 Caf1a hCAF-1	"CCR4-NOT transcription complex, subunit 7"	Homo sapiens
dd_Smed_v6_10966_0_1	2455	PLDB	0	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2	Homo sapiens
dd_Smed_v6_10985_0_1	1679	PLDB	7.00E-160	PI4K2A PI4KII PIK42A	phosphatidylinositol 4-kinase type 2 alpha	Homo sapiens
dd_Smed_v6_11045_0_1	209	PLDB	3.00E-06	POLR2L RBP10 RPABC5 RPB10 RPB10beta RPB7.6 hRPB7.6	polymerase (RNA) II subunit L	Homo sapiens
dd_Smed_v6_11140_0_1	5626	PLDB	0	ASCC3 ASC1p200 HELIC1 RNAH	activating signal cointegrator 1 complex subunit 3	Homo sapiens
dd_Smed_v6_11141_0_1	2804	PLDB	2.00E-97	CAPN15 SOLH	calpain 15	Homo sapiens
dd_Smed_v6_11145_0_1	2885	PLDB	4.00E-132	RECQL5 RECQ5	RecQ protein-like 5	Homo sapiens
dd_Smed_v6_11145_0_2	2823	PLDB	2.00E-132	RECQL5 RECQ5	RecQ protein-like 5	Homo sapiens
dd_Smed_v6_11145_0_3	2822	PLDB	2.00E-132	RECQL5 RECQ5	RecQ protein-like 5	Homo sapiens
dd_Smed_v6_11145_0_4	2760	PLDB	1.00E-132	RECQL5 RECQ5	RecQ protein-like 5	Homo sapiens
dd_Smed_v6_11149_0_1	6172	PLDB	3.00E-135	TAF1 BA2R CCG1 CCGS DYT3 DYT3/TAF1 KAT4 N-TAF1 NSCL2 OF P250 TAF(II)250 TAF2A TAFII-250 TAFII250 XDP	"TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa"	Homo sapiens
dd_Smed_v6_11265_0_1	1381	PLDB	3.00E-112	CDK1 CDC2 CDC28A P34CDC2	cyclin-dependent kinase 1	Homo sapiens
dd_Smed_v6_11320_0_1	1636	PLDB	0	DDC AADC	dopa decarboxylase	Homo sapiens
dd_Smed_v6_11322_0_1	1955	PLDB	2.00E-22	MUS81 SLX3	MUS81 structure-specific endonuclease subunit	Homo sapiens
dd_Smed_v6_11357_0_1	787	PLDB	1.00E-46	RAC1 Rac-1 TC-25 p21-Rac1	"ras-related C3 botulinum toxin substrate 1 (rho family, small GTP binding protein Rac1)"	Homo sapiens
dd_Smed_v6_11363_0_1	2859	PLDB	3.00E-178	LIG4	"ligase IV, DNA, ATP-dependent"	Homo sapiens
dd_Smed_v6_11363_0_2	1767	PLDB	8.00E-46	LIG4	"ligase IV, DNA, ATP-dependent"	Homo sapiens
dd_Smed_v6_11366_0_1	3531	PLDB	2.00E-104	NEK1 NY-REN-55 SRPS2 SRPS2A SRTD6	NIMA-related kinase 1	Homo sapiens
dd_Smed_v6_11367_0_2	971	PLDB	1.00E-11	USP16 UBP-M UBPM	ubiquitin specific peptidase 16	Homo sapiens
dd_Smed_v6_1136_0_1	597	PLDB	5.00E-60	RBX1 BA554C12.1 RNF75 ROC1	ring-box 1	Homo sapiens
dd_Smed_v6_11372_0_1	1818	PLDB	8.00E-154	EYA1 BOP BOR BOS1 OFC1	EYA transcriptional coactivator and phosphatase 1	Homo sapiens
dd_Smed_v6_1137_0_11	1842	PLDB	2.00E-41	CYLD BRSS CDMT CYLD1 CYLDI EAC MFT MFT1 SBS TEM USPL2	cylindromatosis (turban tumor syndrome)	Homo sapiens
dd_Smed_v6_1137_0_2	3273	PLDB	6.00E-37	CYLD BRSS CDMT CYLD1 CYLDI EAC MFT MFT1 SBS TEM USPL2	cylindromatosis (turban tumor syndrome)	Homo sapiens
dd_Smed_v6_1137_0_3	3203	PLDB	3.00E-40	CYLD BRSS CDMT CYLD1 CYLDI EAC MFT MFT1 SBS TEM USPL2	cylindromatosis (turban tumor syndrome)	Homo sapiens
dd_Smed_v6_1137_0_4	3183	PLDB	3.00E-40	CYLD BRSS CDMT CYLD1 CYLDI EAC MFT MFT1 SBS TEM USPL2	cylindromatosis (turban tumor syndrome)	Homo sapiens
dd_Smed_v6_11417_0_1	1083	PLDB	4.00E-101	APEX1 APE APE1 APEN APEX APX HAP1 REF1	apurinic/apyrimidinic endodeoxyribonuclease 1	Homo sapiens
dd_Smed_v6_11434_0_1	2732	PLDB	0	MSH2 COCA1 FCC1 HNPCC HNPCC1 LCFS2	mutS homolog 2	Homo sapiens
dd_Smed_v6_11475_0_1	3984	PLDB	5.00E-179	RAD50 NBSLD RAD502 hRad50	RAD50 double strand break repair protein	Homo sapiens
dd_Smed_v6_11487_0_1	1398	PLDB	1.00E-08	CCNB1 CCNB	cyclin B1	Homo sapiens
dd_Smed_v6_1149_0_1	3106	PLDB	0	PSMD1 P112 Rpn2 S1	"proteasome 26S subunit, non-ATPase 1"	Homo sapiens
dd_Smed_v6_11510_0_1	1623	PLDB	3.00E-63	GTF2H4 P52 TFB2 TFIIH	general transcription factor IIH subunit 4	Homo sapiens
dd_Smed_v6_11544_0_1	2746	PLDB	9.00E-61	MEN1 MEAI SCG2	menin 1	Homo sapiens
dd_Smed_v6_11546_0_1	2857	PLDB	2.00E-154	RFC1 A1 MHCBFB PO-GA RECC1 RFC RFC140	replication factor C subunit 1	Homo sapiens
dd_Smed_v6_11674_0_1	2064	PLDB	2.00E-131	RPS6KB1 PS6K S6K S6K-beta-1 S6K1 STK14A p70 S6KA p70(S6K)-alpha p70-S6K p70-alpha	ribosomal protein S6 kinase B1	Homo sapiens
dd_Smed_v6_11699_0_1	524	PLDB	6.00E-14	UBA52 CEP52 HUBCEP52 L40 RPL40	ubiquitin A-52 residue ribosomal protein fusion product 1	Homo sapiens
dd_Smed_v6_11718_0_1	3882	PLDB	5.00E-145	FANCM FAAP250 KIAA1596	Fanconi anemia complementation group M	Homo sapiens
dd_Smed_v6_11756_0_7	2254	PLDB	2.00E-11	UBB	ubiquitin B	Homo sapiens
dd_Smed_v6_11757_0_1	1289	PLDB	1.00E-80	FBXO45 Fbx45	F-box protein 45	Homo sapiens
dd_Smed_v6_11764_0_1	1388	PLDB	5.00E-17	PHAX RNUXA	phosphorylated adaptor for RNA export	Homo sapiens
dd_Smed_v6_1176_0_1	2243	PLDB	0	PSMC5 S8 SUG-1 SUG1 TBP10 TRIP1 p45 p45/SUG	"proteasome 26S subunit, ATPase 5"	Homo sapiens
dd_Smed_v6_11802_0_1	1624	PLDB	0	DDX6 HLR2 P54 RCK	DEAD-box helicase 6	Homo sapiens
dd_Smed_v6_11904_0_1	1777	PLDB	7.00E-57	UBC HMG20	ubiquitin C	Homo sapiens
dd_Smed_v6_12021_0_1	477	PLDB	5.00E-08	GTF2H5 C6orf175 TFB5 TFIIH TGF2H5 TTD TTD-A TTDA bA120J8.2	"general transcription factor IIH, polypeptide 5"	Homo sapiens
dd_Smed_v6_1205_0_1	19524	PLDB	0	MACF1 ABP620 ACF7 MACF OFC4	microtubule-actin crosslinking factor 1	Homo sapiens
dd_Smed_v6_12096_0_1	1162	PLDB	3.00E-33	DCLRE1C A-SCID DCLREC1C RS-SCID SCIDA SNM1C	DNA cross-link repair 1C	Homo sapiens
dd_Smed_v6_12119_1_2	1916	PLDB	4.00E-172	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2	Homo sapiens
dd_Smed_v6_1211_0_1	1527	PLDB	3.00E-95	PNKP EIEE10 MCSZ PNK	polynucleotide kinase 3'-phosphatase	Homo sapiens
dd_Smed_v6_12176_0_1	1326	PLDB	5.00E-139	MAPKAPK3 3PK MAPKAP-K3 MAPKAP3 MAPKAPK-3 MK-3	mitogen-activated protein kinase-activated protein kinase 3	Homo sapiens
dd_Smed_v6_12249_0_1	1743	PLDB	5.00E-50	HINFP HiNF-P MIZF ZNF743	histone H4 transcription factor	Homo sapiens
dd_Smed_v6_12261_0_1	3254	PLDB	1.00E-179	RTEL1 C20orf41 DKCA4 DKCB5 NHL RTEL	regulator of telomere elongation helicase 1	Homo sapiens
dd_Smed_v6_1231_0_1	1143	PLDB	4.00E-74	PSMD4 AF AF-1 ASF MCB1 Rpn10 S5A pUB-R5	"proteasome 26S subunit, non-ATPase 4"	Homo sapiens
dd_Smed_v6_1235_0_1	918	PLDB	3.00E-104	PSMA7 C6 HSPC RC6-1 XAPC7	"proteasome (prosome, macropain) subunit, alpha type, 7"	Homo sapiens
dd_Smed_v6_12390_0_1	307	PLDB	5.00E-28	RAD51 BRCC5 HRAD51 HsRad51 HsT16930 MRMV2 RAD51A RECA	RAD51 recombinase	Homo sapiens
dd_Smed_v6_1241_0_1	747	PLDB	4.00E-91	PSMB3 HC10-II	proteasome subunit beta 3	Homo sapiens
dd_Smed_v6_12464_0_1	3201	PLDB	8.00E-91	USP48 RAP1GA1 USP31	ubiquitin specific peptidase 48	Homo sapiens
dd_Smed_v6_12478_0_1	919	PLDB	9.00E-67	RAD1 HRAD1 REC1	RAD1 checkpoint DNA exonuclease	Homo sapiens
dd_Smed_v6_12519_0_1	648	PLDB	5.00E-26	SSRP1 FACT FACT80 T160	structure specific recognition protein 1	Homo sapiens
dd_Smed_v6_12551_0_1	4135	PLDB	4.00E-48	BRCA2 BRCC2 BROVCA2 FACD FAD FAD1 FANCD FANCD1 GLM3 PNCA2	"breast cancer 2, early onset"	Homo sapiens
dd_Smed_v6_12580_0_1	825	PLDB	3.00E-13	TIPIN	TIMELESS interacting protein	Homo sapiens
dd_Smed_v6_1259_0_1	894	PLDB	8.00E-98	SOD2 IPOB MNSOD MVCD6	"superoxide dismutase 2, mitochondrial"	Homo sapiens
dd_Smed_v6_1260_0_1	1832	PLDB	3.00E-123	TYMS HST422 TMS TS	thymidylate synthetase	Homo sapiens
dd_Smed_v6_12638_0_1	3460	PLDB	1.00E-118	DNA2 DNA2L PEOA6 SCKL8 hDNA2	DNA replication helicase/nuclease 2	Homo sapiens
dd_Smed_v6_1264_0_1	1181	PLDB	5.00E-94	PSMB7 Z	proteasome subunit beta 7	Homo sapiens
dd_Smed_v6_12690_0_1	1968	PLDB	4.00E-54	ASTE1	asteroid homolog 1 (Drosophila)	Homo sapiens
dd_Smed_v6_1276_0_1	1858	PLDB	0	PRPF19 NMP200 PRP19 PSO4 SNEV UBOX4 hPSO4	pre-mRNA processing factor 19	Homo sapiens
dd_Smed_v6_12789_0_1	1570	PLDB	6.00E-39	CHEK1 CHK1	checkpoint kinase 1	Homo sapiens
dd_Smed_v6_1278_0_1	992	PLDB	2.00E-111	PSMA1 HC2 HEL-S-275 NU PROS30	proteasome subunit alpha 1	Homo sapiens
dd_Smed_v6_1279_0_1	1378	PLDB	0	PSMC4 MIP224 RPT3 S6 TBP-7 TBP7	"proteasome 26S subunit, ATPase 4"	Homo sapiens
dd_Smed_v6_12806_0_1	2574	PLDB	1.00E-51	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_10	1982	PLDB	4.00E-43	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_11	1803	PLDB	2.00E-38	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_12	1722	PLDB	2.00E-43	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_13	1333	PLDB	4.00E-84	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_14	1252	PLDB	2.00E-90	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_15	1192	PLDB	4.00E-61	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_16	1111	PLDB	1.00E-66	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_17	963	PLDB	4.00E-70	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_18	882	PLDB	3.00E-76	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_2	2493	PLDB	1.00E-56	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_20	822	PLDB	3.00E-47	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_21	741	PLDB	5.00E-53	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_3	2433	PLDB	7.00E-52	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_4	2352	PLDB	7.00E-57	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_5	2204	PLDB	5.00E-38	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_6	2173	PLDB	3.00E-52	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_7	2123	PLDB	6.00E-43	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_8	2092	PLDB	2.00E-57	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_12806_0_9	2063	PLDB	3.00E-38	MSH4	mutS homolog 4	Homo sapiens
dd_Smed_v6_1286_0_1	1478	PLDB	6.00E-99	MAP2K6 MAPKK6 MEK6 MKK6 PRKMK6 SAPKK-3 SAPKK3	mitogen-activated protein kinase kinase 6	Homo sapiens
dd_Smed_v6_12881_0_1	4172	PLDB	7.00E-21	FANCD2 FA-D2 FA4 FACD FAD FAD2 FANCD	"Fanconi anemia, complementation group D2"	Homo sapiens
dd_Smed_v6_12962_0_1	1274	PLDB	3.00E-18	TDP2 AD022 EAP2 EAPII TTRAP dJ30M3.3 hTDP2	tyrosyl-DNA phosphodiesterase 2	Homo sapiens
dd_Smed_v6_12966_0_1	3475	PLDB	0	POLD1 CDC2 CRCS10 MDPL POLD	"polymerase (DNA) delta 1, catalytic subunit"	Homo sapiens
dd_Smed_v6_13054_0_1	3639	PLDB	0	POLD1 CDC2 CRCS10 MDPL POLD	"polymerase (DNA) delta 1, catalytic subunit"	Homo sapiens
dd_Smed_v6_1319_0_1	1683	PLDB	1.00E-168	MAPK3 ERK-1 ERK1 ERT2 HS44KDAP HUMKER1A P44ERK1 P44MAPK PRKM3 p44-ERK1 p44-MAPK	mitogen-activated protein kinase 3	Homo sapiens
dd_Smed_v6_13215_0_1	1708	PLDB	7.00E-38	SOX2 ANOP3 MCOPS3	SRY-box 2	Homo sapiens
dd_Smed_v6_13345_0_1	2310	PLDB	9.00E-51	ACTR5 Arp5 INO80M	ARP5 actin-related protein 5 homolog	Homo sapiens
dd_Smed_v6_1337_0_1	793	PLDB	7.00E-82	SKP1 EMC19 OCP-II OCP2 SKP1A TCEB1L p19A	S-phase kinase-associated protein 1	Homo sapiens
dd_Smed_v6_1342_0_1	1159	PLDB	9.00E-74	TXNL1 HEL-S-114 TRP32 TXL-1 TXNL Txl	thioredoxin like 1	Homo sapiens
dd_Smed_v6_13557_0_1	4195	PLDB	0	POLR2A POLR2 POLRA RPB1 RPBh1 RPO2 RPOL2 RpIILS hRPB220 hsRPB1	polymerase (RNA) II subunit A	Homo sapiens
dd_Smed_v6_13738_0_1	2124	PLDB	4.00E-39	PLK1 PLK STPK13	polo like kinase 1	Homo sapiens
dd_Smed_v6_13812_0_1	2591	PLDB	0	DGKZ DAGK5 DAGK6 DGK-ZETA hDGKzeta	"diacylglycerol kinase, zeta"	Homo sapiens
dd_Smed_v6_13891_0_1	1879	PLDB	3.00E-116	ALKBH8 ABH8	"alkB, alkylation repair homolog 8 (E. coli)"	Homo sapiens
dd_Smed_v6_13895_0_1	954	PLDB	4.00E-34	LOC101929864	structure-specific endonuclease subunit SLX1-like	Homo sapiens
dd_Smed_v6_13899_0_1	1174	PLDB	7.00E-74	DYRK2	dual specificity tyrosine phosphorylation regulated kinase 2	Homo sapiens
dd_Smed_v6_13980_0_1	4923	PLDB	0	POLE CRCS12 FILS POLE1	"polymerase (DNA) epsilon, catalytic subunit"	Homo sapiens
dd_Smed_v6_14064_0_1	3668	PLDB	0	TOP2A TOP2 TP2A	topoisomerase (DNA) II alpha	Homo sapiens
dd_Smed_v6_14121_0_1	1198	PLDB	7.00E-44	RAD9A RAD9	RAD9 checkpoint clamp component A	Homo sapiens
dd_Smed_v6_14127_0_1	773	PLDB	1.00E-37	TDG hTDG	thymine-DNA glycosylase	Homo sapiens
dd_Smed_v6_14134_0_1	1198	PLDB	1.00E-70	CDK1 CDC2 CDC28A P34CDC2	cyclin-dependent kinase 1	Homo sapiens
dd_Smed_v6_14318_0_1	2447	PLDB	2.00E-10	TRAF7 RFWD1 RNF119	TNF receptor associated factor 7	Homo sapiens
dd_Smed_v6_14318_0_2	2403	PLDB	2.00E-10	TRAF7 RFWD1 RNF119	TNF receptor associated factor 7	Homo sapiens
dd_Smed_v6_14318_0_5	1720	PLDB	3.00E-13	TRAF7 RFWD1 RNF119	TNF receptor associated factor 7	Homo sapiens
dd_Smed_v6_14351_0_1	1623	PLDB	4.00E-17	SPATA18 Mieap SPETEX1	spermatogenesis associated 18	Homo sapiens
dd_Smed_v6_14392_0_1	2113	PLDB	1.00E-122	DDX5 G17P1 HLR1 HUMP68 p68	DEAD-box helicase 5	Homo sapiens
dd_Smed_v6_14471_0_1	1168	PLDB	3.00E-55	OGG1 HMMH HOGG1 MUTM OGH1	8-oxoguanine DNA glycosylase	Homo sapiens
dd_Smed_v6_14471_0_2	1123	PLDB	6.00E-59	OGG1 HMMH HOGG1 MUTM OGH1	8-oxoguanine DNA glycosylase	Homo sapiens
dd_Smed_v6_1449_0_1	1707	PLDB	3.00E-157	PSMD3 P58 RPN3 S3 TSTA2	"proteasome 26S subunit, non-ATPase 3"	Homo sapiens
dd_Smed_v6_14547_0_1	1864	PLDB	3.00E-75	EXO1 HEX1 hExoI	exonuclease 1	Homo sapiens
dd_Smed_v6_14586_0_1	4334	PLDB	1.00E-139	ATM AT1 ATA ATC ATD ATDC ATE TEL1 TELO1	ATM serine/threonine kinase	Homo sapiens
dd_Smed_v6_14737_0_1	2906	PLDB	6.00E-41	TOPBP1 TOP2BP1	topoisomerase (DNA) II binding protein 1	Homo sapiens
dd_Smed_v6_14816_0_1	676	PLDB	3.00E-10	SPRED2 Spred-2	sprouty related EVH1 domain containing 2	Homo sapiens
dd_Smed_v6_14902_0_1	521	PLDB	2.00E-87	PSMC6 CADP44 HEL-S-73 P44 SUG2 p42	"proteasome 26S subunit, ATPase 6"	Homo sapiens
dd_Smed_v6_15107_0_1	1176	PLDB	5.00E-48	GCM2 GCMB hGCMb	glial cells missing homolog 2	Homo sapiens
dd_Smed_v6_15274_0_1	1388	PLDB	2.00E-12	EIF4A3 DDX48 MUK34 NMP265 NUK34 RCPS eIF4AIII	eukaryotic translation initiation factor 4A3	Homo sapiens
dd_Smed_v6_1527_0_1	1525	PLDB	5.00E-114	DNAJA1 DJ-2 DjA1 HDJ2 HSDJ HSJ2 HSPF4 NEDD7 hDJ-2	"DnaJ (Hsp40) homolog, subfamily A, member 1"	Homo sapiens
dd_Smed_v6_1535_0_1	676	PLDB	1.00E-81	UBE2I C358B7.1 P18 UBC9	ubiquitin conjugating enzyme E2 I	Homo sapiens
dd_Smed_v6_1541_0_1	964	PLDB	8.00E-117	PSMA4 HC9 HsT17706 PSC9	proteasome subunit alpha 4	Homo sapiens
dd_Smed_v6_15463_0_1	3673	PLDB	0	MSH6 GTBP GTMBP HNPCC5 HSAP p160	mutS homolog 6	Homo sapiens
dd_Smed_v6_15463_0_2	2818	PLDB	0	MSH6 GTBP GTMBP HNPCC5 HSAP p160	mutS homolog 6	Homo sapiens
dd_Smed_v6_15465_0_1	1700	PLDB	2.00E-52	DTL CDT2 DCAF2 L2DTL RAMP	denticleless E3 ubiquitin protein ligase homolog	Homo sapiens
dd_Smed_v6_15524_0_1	697	PLDB	9.00E-31	BRIP1 BACH1 FANCJ OF	BRCA1 interacting protein C-terminal helicase 1	Homo sapiens
dd_Smed_v6_15532_0_1	2376	PLDB	0	RAD54L HR54 RAD54A hHR54 hRAD54	RAD54-like (S. cerevisiae)	Homo sapiens
dd_Smed_v6_1557_0_1	963	PLDB	5.00E-107	PSMA3 HC8 PSC3	proteasome subunit alpha 3	Homo sapiens
dd_Smed_v6_15639_0_1	2655	PLDB	8.00E-82	ERCC4 ERCC11 FANCQ RAD1 XPF	excision repair cross-complementation group 4	Homo sapiens
dd_Smed_v6_15678_0_1	978	PLDB	3.00E-45	HUS1 hHUS1	HUS1 checkpoint clamp component	Homo sapiens
dd_Smed_v6_1568_0_1	892	PLDB	4.00E-83	UNG DGU HIGM4 HIGM5 UDG UNG1 UNG15 UNG2	uracil DNA glycosylase	Homo sapiens
dd_Smed_v6_15723_0_1	1360	PLDB	2.00E-45	EEPD1 HSPC107	endonuclease/exonuclease/phosphatase family domain containing 1	Homo sapiens
dd_Smed_v6_15756_0_1	5128	PLDB	2.00E-27	TOPBP1 TOP2BP1	topoisomerase (DNA) II binding protein 1	Homo sapiens
dd_Smed_v6_1583_0_1	724	PLDB	1.00E-78	PSMB6 DELTA LMPY Y	proteasome subunit beta 6	Homo sapiens
dd_Smed_v6_15910_0_1	796	PLDB	2.00E-08	RECQL RECQL1 RecQ1	RecQ like helicase	Homo sapiens
dd_Smed_v6_161_0_1	1059	PLDB	6.00E-82	RPLP0 L10E LP0 P0 PRLP0 RPP0	ribosomal protein lateral stalk subunit P0	Homo sapiens
dd_Smed_v6_16473_0_1	541	PLDB	3.00E-10	MIEN1 C17orf37 C35 ORB3 RDX12 XTP4	migration and invasion enhancer 1	Homo sapiens
dd_Smed_v6_16498_0_1	423	PLDB	2.00E-46	TLK2 HsHPK PKU-ALPHA	tousled-like kinase 2	Homo sapiens
dd_Smed_v6_16524_0_1	1016	PLDB	4.00E-34	MSX1 ECTD3 HOX7 HYD1 STHAG1	msh homeobox 1	Homo sapiens
dd_Smed_v6_16638_0_1	2400	PLDB	2.00E-106	BRIP1 BACH1 FANCJ OF	BRCA1 interacting protein C-terminal helicase 1	Homo sapiens
dd_Smed_v6_1669_0_1	795	PLDB	3.00E-68	PSMB4 HN3 HsN3 PROS-26 PROS26	proteasome subunit beta 4	Homo sapiens
dd_Smed_v6_16724_0_1	967	PLDB	5.00E-65	RAD51C BROVCA3 FANCO R51H3 RAD51L2	RAD51 paralog C	Homo sapiens
dd_Smed_v6_16724_0_2	915	PLDB	4.00E-67	RAD51C BROVCA3 FANCO R51H3 RAD51L2	RAD51 paralog C	Homo sapiens
dd_Smed_v6_1672_0_1	1140	PLDB	1.00E-94	UCHL5 CGI-70 INO80R UCH-L5 UCH37	ubiquitin C-terminal hydrolase L5	Homo sapiens
dd_Smed_v6_16760_0_1	2306	PLDB	1.00E-80	PMS2 HNPCC4 PMS2CL PMSL2	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	Homo sapiens
dd_Smed_v6_16760_0_2	2265	PLDB	1.00E-80	PMS2 HNPCC4 PMS2CL PMSL2	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	Homo sapiens
dd_Smed_v6_16760_0_3	2262	PLDB	9.00E-81	PMS2 HNPCC4 PMS2CL PMSL2	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	Homo sapiens
dd_Smed_v6_16760_0_4	2221	PLDB	1.00E-80	PMS2 HNPCC4 PMS2CL PMSL2	PMS2 postmeiotic segregation increased 2 (S. cerevisiae)	Homo sapiens
dd_Smed_v6_16802_0_1	1809	PLDB	2.00E-75	POLE2 DPE2	"polymerase (DNA) epsilon 2, accessory subunit"	Homo sapiens
dd_Smed_v6_16842_0_1	2120	PLDB	1.00E-117	PIF1 C15orf20 PIF	PIF1 5'-to-3' DNA helicase	Homo sapiens
dd_Smed_v6_16942_0_1	1796	PLDB	3.00E-66	CDC45 CDC45L CDC45L2 PORC-PI-1	cell division cycle 45	Homo sapiens
dd_Smed_v6_1702_0_1	1052	PLDB	4.00E-101	YWHAE 14-3-3E HEL2 KCIP-1 MDCR MDS	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	Homo sapiens
dd_Smed_v6_17393_0_1	1501	PLDB	8.00E-61	GATA3 HDR HDRS	GATA binding protein 3	Homo sapiens
dd_Smed_v6_1752_0_1	2674	PLDB	0	CAPN3 CANP3 CANPL3 LGMD2 LGMD2A nCL-1 p94	calpain 3	Homo sapiens
