subjectID	NB subclass	queryID	% identity	alignment length	mismatches	gap opens	q. start	q. end	s. start	s. end	evalue	bit score
dd_Smed_v6_11881_0_2	NB2	SMED30033584|AsxlX1_comp79137_c0_seq6|AsxlX1	100	163	0	0	129	291	1	163	3.00E-79	295
dd_Smed_v6_1612_0_2	NB2	SMED30033584|AsxlX1_comp79137_c0_seq6|AsxlX1	88.12	101	10	1	81	181	540	442	3.00E-28	125
dd_Smed_v6_17422_0_1	NB3											
dd_Smed_v6_18547_0_1	NB3	SMED30003599|AsxlX1_comp82788_c0_seq3|AsxlX1	97.66	1970	3	1	1882	3808	1	1970	0	3380
dd_Smed_v6_18547_0_2	NB3	SMED30003599|AsxlX1_comp82788_c0_seq3|AsxlX1	96.75	1970	3	2	1882	3808	1	1952	0	3310
dd_Smed_v6_30278_0_1	NB3	SMED30003599|AsxlX1_comp82788_c0_seq3|AsxlX1	99.61	1274	4	1	524	1796	1	1274	0	2271
dd_Smed_v6_16306_0_2	NB3	SMED30004080|AsxlX1_comp71220_c0_seq2|AsxlX1	99.56	457	2	0	445	901	1	457	0	816
dd_Smed_v6_16306_0_1	NB3	SMED30004080|AsxlX1_comp71220_c0_seq2|AsxlX1	93.26	445	15	2	445	889	1	430	0	672
dd_Smed_v6_14648_0_3	NB3	SMED30004080|AsxlX1_comp71220_c0_seq2|AsxlX1	98.7	307	4	0	160	466	1	307	1.00E-151	536
dd_Smed_v6_33890_0_1	NB3	SMED30034674|Sxlregen_comp705_c0_seq1|Sxlregen	87.58	797	73	10	1913	2707	1	773	0	969
dd_Smed_v6_3254_1_1	NB3	SMED30034674|Sxlregen_comp705_c0_seq1|Sxlregen	90.98	543	32	2	4330	4871	549	23	0	765
dd_Smed_v6_32019_0_1	NB3	SMED30034674|Sxlregen_comp705_c0_seq1|Sxlregen	95.84	361	15	0	3413	3773	362	2	5.00E-165	583
dd_Smed_v6_17978_0_3	NB3	SMED30028350|uniq_sm_524383|033226_uniq	65.97	529	144	18	191	714	1496	1993	9.00E-19	95.1
dd_Smed_v6_17978_0_2	NB3	SMED30028350|uniq_sm_524383|033226_uniq	65.97	529	144	18	191	714	741	244	9.00E-19	95.1
dd_Smed_v6_17978_0_1	NB3	SMED30028350|uniq_sm_524383|033226_uniq	65.97	529	144	18	191	714	741	244	9.00E-19	95.1
dd_Smed_v6_37_0_1	NB4 	SMED30009076|AsxlX1_comp81089_c0_seq4|AsxlX1	98.16	1252	23	0	26	1277	1	1252	0	2154
dd_Smed_v6_3_0_1	NB4	SMED30009076|AsxlX1_comp81089_c0_seq4|AsxlX1	82.78	1138	190	4	323	1457	35	1169	0	1157
dd_Smed_v6_9283_0_1	NB4	SMED30014105|SxlWT_comp58299_c0_seq1|SxlWT	99.45	3425	19	0	298	3722	71	3495	0	6091
dd_Smed_v6_13055_0_1	NB4	SMED30010450|OX_Smed_1.0.12367|Oxford	99.79	483	1	0	173	655	1	483	0	868
dd_Smed_v6_18483_0_7	NB4	SMED30010450|OX_Smed_1.0.12367|Oxford	77.38	84	19	0	219	302	814	731	4.00E-10	66.2
dd_Smed_v6_18483_0_2	NB4	SMED30010450|OX_Smed_1.0.12367|Oxford	77.38	84	19	0	219	302	814	731	4.00E-10	66.2
dd_Smed_v6_375_0_1	NB4	SMED30015413|AsxlWT_comp31544_c0_seq1|AsxlWT	98.17	2409	1	1	1	2366	5	2413	0	4181
dd_Smed_v6_585_0_1	NB4	SMED30002753|AsxlWT_comp42093_c0_seq1|AsxlWT	98.83	511	6	0	1	511	137	647	0	895
dd_Smed_v6_3736_0_1	NB4	SMED30019763|AsxlWT_comp59414_c3_seq2|AsxlWT	99.94	1764	0	1	1	1763	31	1794	0	3173
dd_Smed_v6_12962_0_1	NB4	SMED30009380|OX_Smed_1.0.14752|Oxford	79.21	933	85	19	7	906	409	1265	0	821
dd_Smed_v6_12962_0_2	NB4	SMED30009380|OX_Smed_1.0.14752|Oxford	69.75	357	49	13	7	348	409	721	5.00E-36	152
dd_Smed_v6_8602_0_1	NB4	SMED30002877|AsxlWT_comp31580_c0_seq1|AsxlWT	100	1575	0	0	1	1575	36	1610	0	2841
dd_Smed_v6_5128_0_1	NB4	SMED30002081|AsxlWT_comp41802_c0_seq1|AsxlWT	99.48	581	1	1	1	579	27	607	0	1032
dd_Smed_v6_6729_0_1	NB4	SMED30022975|AsxlWT_comp54454_c1_seq1|AsxlWT	99.88	1695	2	0	5	1699	1	1695	0	3048
dd_Smed_v6_12229_0_1	NB4											
dd_Smed_v6_6736_0_1	NB5											
dd_Smed_v6_4075_0_2	NB5	SMED30007290|AsxlWT_comp54815_c0_seq2|AsxlWT	99.8	2033	4	0	1	2033	119	2151	0	3649
dd_Smed_v6_4075_0_1	NB5	SMED30007290|AsxlWT_comp54815_c0_seq2|AsxlWT	99.78	1801	4	0	233	2033	425	2225	0	3231
dd_Smed_v6_1144_0_1	NB5	SMED30004081|AsxlWT_comp65556_c0_seq1|AsxlWT	99.95	1854	1	0	5	1858	1	1854	0	3339
dd_Smed_v6_17_0_1	NB5	SMED30021063|AsxlWT_comp31590_c0_seq1|AsxlWT	99.82	541	1	0	1	541	91	631	0	971
dd_Smed_v6_1694_0_1	NB5	SMED30005748|Sxlregen_comp2355_c0_seq1|Sxlregen	99.85	1964	3	0	1	1964	2647	684	0	3528
dd_Smed_v6_1694_0_2	NB5	SMED30005748|Sxlregen_comp2355_c0_seq1|Sxlregen	99.83	1178	2	0	1	1178	1811	634	0	2116
dd_Smed_v6_1519_0_1	NB5	SMED30023874|Sxlembryo_comp85723_c0_seq2|Sxlembryo	99.2	1247	8	2	5	1249	4	1250	0	2197
dd_Smed_v6_12209_0_1	NB5	SMED30023874|Sxlembryo_comp85723_c0_seq2|Sxlembryo	68.47	1186	363	8	17	1196	29	1209	2.00E-118	426
dd_Smed_v6_10059_0_1	NB5	SMED30030204|AsxlWT_comp78384_c0_seq1|AsxlWT	100	773	0	0	64	836	89	861	0	1395
dd_Smed_v6_11011_0_1	NB5	SMED30030204|AsxlWT_comp78384_c0_seq1|AsxlWT	87.23	47	6	0	33	79	391	345	7.00E-08	59
dd_Smed_v6_762_0_3	NB5	SMED30034629|AsxlWT_comp53306_c2_seq1|AsxlWT	98.84	1123	0	1	70	1192	1	1110	0	1974
dd_Smed_v6_762_0_2	NB5	SMED30034629|AsxlWT_comp53306_c2_seq1|AsxlWT	96.64	1162	0	1	70	1192	1	1162	0	1950
dd_Smed_v6_762_0_1	NB5	SMED30034629|AsxlWT_comp53306_c2_seq1|AsxlWT	99.74	762	2	0	431	1192	758	1519	0	1366
dd_Smed_v6_2716_0_1	NB5	SMED30011793|AsxlWT_comp34910_c0_seq3|AsxlWT	100	1917	0	0	5	1921	15	1931	0	3458
dd_Smed_v6_2716_0_2	NB5	SMED30011793|AsxlWT_comp34910_c0_seq3|AsxlWT	97.65	1917	0	1	5	1921	15	1886	0	3290
dd_Smed_v6_2716_0_3	NB5	SMED30011793|AsxlWT_comp34910_c0_seq3|AsxlWT	97.5	1917	0	1	5	1921	15	1883	0	3279
dd_Smed_v6_272_0_1	NB5	SMED30004939|AsxlWT_comp29308_c0_seq1|AsxlWT	99.85	646	1	0	1	646	153	798	0	1160
dd_Smed_v6_9899_0_1	NB6	SMED30003276|AsxlWT_comp51288_c0_seq1|AsxlWT	99.92	1187	1	0	1	1187	324	1510	0	2136
dd_Smed_v6_445_0_1	NB6	SMED30009749|AsxlWT_comp63411_c0_seq1|AsxlWT	99.72	1057	0	1	1	1057	171	1224	0	1891
dd_Smed_v6_803_0_1	NB6	SMED30009749|AsxlWT_comp63411_c0_seq1|AsxlWT	76.27	510	119	2	238	746	306	814	2.00E-100	367
dd_Smed_v6_12472_0_1	NB6	SMED30002925|AsxlX1_comp84338_c1_seq1|AsxlX1	99.52	5402	26	0	134	5535	1	5402	0	9625
dd_Smed_v6_78_0_1	NB6	SMED30013107|AsxlWT_comp29089_c0_seq1|AsxlWT	100	1135	0	0	54	1188	101	1235	0	2048
dd_Smed_v6_62183_0_1	NB6	SMED30013107|AsxlWT_comp29089_c0_seq1|AsxlWT	77.67	421	94	0	200	620	1	421	3.00E-91	336
dd_Smed_v6_17526_0_1	NB6	SMED30013107|AsxlWT_comp29089_c0_seq1|AsxlWT	70.42	781	209	14	78	850	56	822	2.00E-87	324
dd_Smed_v6_1402_0_1	NB6	SMED30004654|AsxlWT_comp64239_c0_seq1|AsxlWT	100	1078	0	0	1	1078	27	1104	0	1945
dd_Smed_v6_703_0_1	NB6	SMED30016080|AsxlWT_comp59709_c0_seq1|AsxlWT	98.2	1113	20	0	24	1136	41	1153	0	1918
dd_Smed_v6_703_0_2	NB6	SMED30016080|AsxlWT_comp59709_c0_seq1|AsxlWT	97.89	949	20	0	24	972	41	989	0	1622
dd_Smed_v6_10657_0_1	NB6	SMED30016080|AsxlWT_comp59709_c0_seq1|AsxlWT	65.36	742	227	15	134	860	115	841	4.00E-32	140
dd_Smed_v6_513_0_1	NB6	SMED30001449|AsxlX1_comp50439_c0_seq2|AsxlX1	99.94	1723	0	1	1	1722	38	1760	0	3099
dd_Smed_v6_16070_0_1	NB6	SMED30009207|AsxlX1_comp64259_c0_seq1|AsxlX1	99.85	662	1	0	259	920	1	662	0	1189
dd_Smed_v6_15531_0_1	NB6											
dd_Smed_v6_17951_0_1	NB6											
dd_Smed_v6_17749_0_1	NB7											
dd_Smed_v6_6999_0_1	NB7	SMED30014748|AsxlWT_comp46412_c0_seq2|AsxlWT	100	4517	0	0	1	4517	50	4566	0	8147
dd_Smed_v6_6999_0_2	NB7	SMED30014748|AsxlWT_comp46412_c0_seq2|AsxlWT	99.88	4039	3	1	481	4517	362	4400	0	7259
dd_Smed_v6_10718_0_1	NB7	SMED30019774|AsxlWT_comp52726_c0_seq10|AsxlWT	100	952	0	0	368	1319	2946	3897	0	1718
dd_Smed_v6_10467_0_1	NB7	SMED30034737|AsxlX1_comp81372_c1_seq1|AsxlX1	99.83	3532	5	1	171	3701	1	3532	0	6340
dd_Smed_v6_12023_0_1	NB7	SMED30034737|AsxlX1_comp81372_c1_seq1|AsxlX1	81.58	76	14	0	939	1014	518	593	4.00E-12	75.2
dd_Smed_v6_8860_0_1	NB7	SMED30011180|AsxlWT_comp61709_c0_seq1|AsxlWT	99.79	4701	10	0	1	4701	166	4866	0	8433
dd_Smed_v6_8860_0_2	NB7	SMED30011180|AsxlWT_comp61709_c0_seq1|AsxlWT	99.84	4412	7	0	290	4701	101	4512	0	7925
dd_Smed_v6_12661_0_1	NB7	SMED30020508|AsxlWT_comp51235_c0_seq1|AsxlWT	100	904	0	0	1	904	116	1019	0	1631
dd_Smed_v6_348_0_1	NB8											
dd_Smed_v6_12834_0_1	NB8											
dd_Smed_v6_13521_0_1	NB8											
dd_Smed_v6_2164_0_1	NB8	SMED30035336|AsxlWT_comp60215_c1_seq1|AsxlWT	99.82	4995	8	1	1	4995	26	5019	0	8964
dd_Smed_v6_83_0_1	NB8	SMED30027929|Asxlregen_comp67433_c0_seq33|Asxlregen	85.93	1365	186	3	124	1482	207	1571	0	1588
dd_Smed_v6_83_0_3	NB8	SMED30027929|Asxlregen_comp67433_c0_seq33|Asxlregen	85.99	1335	187	0	124	1458	207	1541	0	1564
dd_Smed_v6_1219_1_3	NB8	SMED30027672|AsxlWT_comp48574_c0_seq1|AsxlWT	99.9	967	1	0	1	967	243	1209	0	1739
dd_Smed_v6_1219_1_1	NB8	SMED30027672|AsxlWT_comp48574_c0_seq1|AsxlWT	92.55	698	43	1	279	967	835	1532	0	1029
dd_Smed_v6_1219_1_4	NB8	SMED30027672|AsxlWT_comp48574_c0_seq1|AsxlWT	90.45	733	62	5	1	729	243	971	0	991
dd_Smed_v6_246_0_2	NB8	SMED30016078|AsxlX1_comp81089_c0_seq1|AsxlX1	99.48	968	5	0	9	976	1347	2314	0	1723
dd_Smed_v6_246_0_1	NB8	SMED30016078|AsxlX1_comp81089_c0_seq1|AsxlX1	99.48	968	5	0	9	976	1420	2387	0	1723
dd_Smed_v6_246_0_5	NB8	SMED30016078|AsxlX1_comp81089_c0_seq1|AsxlX1	98.2	944	17	0	33	976	194	1137	0	1626
dd_Smed_v6_6135_0_1	NB8	SMED30021268|AsxlWT_comp72781_c0_seq1|AsxlWT	100	607	0	0	11	617	49	655	0	1095
dd_Smed_v6_10718_0_3	NB8	SMED30027428|AsxlWT_comp59765_c0_seq1|AsxlWT	99.44	2143	1	1	1	2143	1218	3349	0	3817
dd_Smed_v6_1671_0_1	NB8	SMED30000763|AsxlWT_comp24289_c0_seq1|AsxlWT	100	730	0	0	13	742	1620	2349	0	1317
dd_Smed_v6_10195_0_1	NB8	SMED30021987|AsxlWT_comp56791_c0_seq1|AsxlWT	98.34	782	6	2	34	808	1	782	0	1350
dd_Smed_v6_10103_0_1	NB8	SMED30007255|AsxlWT_comp50216_c0_seq1|AsxlWT	99.94	1643	1	0	1	1643	119	1761	0	2958
dd_Smed_v6_13753_0_1	NB8	SMED30007255|AsxlWT_comp50216_c0_seq1|AsxlWT	77.66	197	44	0	1163	1359	2872	3068	2.00E-37	158
dd_Smed_v6_13462_0_1	NB9											
dd_Smed_v6_8641_0_1	NB9											
dd_Smed_v6_8234_0_1	NB9	SMED30030379|AsxlWT_comp49088_c0_seq1|AsxlWT	99.63	1628	3	1	1	1625	89	1716	0	2908
dd_Smed_v6_38342_0_1	NB9	SMED30030379|AsxlWT_comp49088_c0_seq1|AsxlWT	75.36	211	50	1	800	1008	878	1088	4.00E-33	143
dd_Smed_v6_17324_0_1	NB9	SMED30030379|AsxlWT_comp49088_c0_seq1|AsxlWT	72.77	213	58	0	799	1011	72	284	4.00E-27	123
dd_Smed_v6_9774_0_1	NB9	SMED30005620|AsxlWT_comp51154_c0_seq1|AsxlWT	99.88	1626	2	0	1	1626	17	1642	0	2924
dd_Smed_v6_15436_0_1	NB9	SMED30005620|AsxlWT_comp51154_c0_seq1|AsxlWT	71.64	536	152	0	393	928	301	836	7.00E-75	282
dd_Smed_v6_11975_0_1	NB9	SMED30005620|AsxlWT_comp51154_c0_seq1|AsxlWT	69.87	395	109	2	524	913	540	929	7.00E-43	176
dd_Smed_v6_12617_0_1	NB9	SMED30024150|Sxlembryo_comp83478_c0_seq2|Sxlembryo	99.59	2695	10	1	1	2694	43	2737	0	4807
dd_Smed_v6_34785_0_1	NB9	SMED30024150|Sxlembryo_comp83478_c0_seq2|Sxlembryo	87.72	57	7	0	376	432	3	59	4.00E-11	71.6
dd_Smed_v6_2946_0_1	NB9	SMED30001601|AsxlWT_comp49517_c0_seq1|AsxlWT	99.81	1595	3	0	887	2481	508	2102	0	2863
dd_Smed_v6_11310_0_1	NB9	SMED30000756|AsxlX1_comp82147_c0_seq4|AsxlX1	99.64	4767	8	1	55	4812	1	4767	0	8524
dd_Smed_v6_11608_0_1	NB9	SMED30000756|AsxlX1_comp82147_c0_seq4|AsxlX1	65.89	516	162	8	1130	1638	1029	1537	6.00E-24	114
dd_Smed_v6_9417_0_1	NB9	SMED30006365|AsxlWT_comp34646_c0_seq1|AsxlWT	100	1207	0	0	22	1228	1	1207	0	2177
dd_Smed_v6_12974_0_1	NB9	SMED30025647|AsxlWT_comp58793_c0_seq1|AsxlWT	99.59	1948	5	1	1	1945	61	2008	0	3476
dd_Smed_v6_12876_0_1	NB9	SMED30014702|AsxlX1_comp17216_c0_seq1|AsxlX1	100	476	0	0	296	771	1	476	0	859
dd_Smed_v6_14202_0_1	NB9	SMED30014702|AsxlX1_comp17216_c0_seq1|AsxlX1	70.1	194	58	0	316	509	93	286	4.00E-17	89.7
dd_Smed_v6_5530_0_1	NB9	SMED30014702|AsxlX1_comp17216_c0_seq1|AsxlX1	70.42	213	57	4	312	521	195	404	1.00E-16	87.8
dd_Smed_v6_537_0_1	NB9	SMED30007001|OX_Smed_1.0.09089|Oxford	99.63	539	2	0	7	545	539	1	0	964
dd_Smed_v6_1417_0_1	NB10											
dd_Smed_v6_120_0_1	NB10											
dd_Smed_v6_1854_0_1	NB10	SMED30007346|AsxlWT_comp42570_c0_seq1|AsxlWT	100	527	0	0	16	542	1	527	0	951
dd_Smed_v6_1060_0_1	NB10	SMED30005571|AsxlWT_comp53328_c0_seq1|AsxlWT	99.87	2392	0	1	1	2389	18	2409	0	4298
dd_Smed_v6_13898_0_1	NB10	SMED30022975|AsxlWT_comp54454_c1_seq1|AsxlWT	80.09	221	43	1	927	1146	731	951	2.00E-49	197
dd_Smed_v6_2716_0_4	NB10	SMED30022975|AsxlWT_comp54454_c1_seq1|AsxlWT	72.22	162	45	0	936	1097	1270	1431	9.00E-17	89.7
dd_Smed_v6_250_0_1	NB10	SMED30017430|AsxlWT_comp42190_c0_seq3|AsxlWT	98.3	1764	27	1	594	2357	199	1959	0	3045
dd_Smed_v6_1058_0_1	NB10	SMED30028938|AsxlWT_comp42190_c0_seq1|AsxlWT	100	455	0	0	248	702	1	455	0	821
dd_Smed_v6_883_0_1	NB10	SMED30028798|AsxlWT_comp42304_c0_seq3|AsxlWT	99.84	608	1	0	434	1041	2	609	0	1092
dd_Smed_v6_883_0_2	NB10	SMED30028798|AsxlWT_comp42304_c0_seq3|AsxlWT	97.2	608	11	3	434	1041	2	603	0	1012
dd_Smed_v6_766_0_1	NB10	SMED30028798|AsxlWT_comp42304_c0_seq3|AsxlWT	64.14	435	146	3	494	923	142	571	3.00E-13	77
dd_Smed_v6_13639_0_1	NB10	SMED30018899|AsxlX1_comp74018_c0_seq1|AsxlX1	67.17	594	187	7	172	761	376	965	7.00E-41	168
dd_Smed_v6_3257_0_1	NB11	SMED30005488|AsxlWT_comp51272_c0_seq2|AsxlWT	99.67	607	2	0	5	611	48	654	0	1086
dd_Smed_v6_3577_0_1	NB11	SMED30026678|uniq_smed26625|033226_uniq	99.58	476	2	0	6	481	71	546	0	850
dd_Smed_v6_1237_0_1	NB11	SMED30020678|berlin_isotig11287|Berlin	99.08	545	3	2	112	656	145	687	0	953
dd_Smed_v6_1237_0_2	NB11	SMED30020678|berlin_isotig11287|Berlin	90.09	545	3	3	112	656	145	638	0	773
dd_Smed_v6_5361_0_1	NB11	SMED30012827|AsxlWT_comp60945_c0_seq1|AsxlWT	99.67	3320	5	1	1	3314	113	3432	0	5939
dd_Smed_v6_1399_0_1	NB11	SMED30028898|AsxlX1_comp71409_c0_seq1|AsxlX1	99.76	820	2	0	47	866	133	952	0	1471
dd_Smed_v6_6859_0_1	NB11	SMED30014194|AsxlWT_comp57792_c0_seq1|AsxlWT	100	5017	0	0	1	5017	43	5059	0	9048
dd_Smed_v6_6859_0_2	NB11	SMED30014194|AsxlWT_comp57792_c0_seq1|AsxlWT	100	3747	0	0	1271	5017	130	3876	0	6758
dd_Smed_v6_1203_0_1	NB11											
dd_Smed_v6_1703_0_1	NB12											
dd_Smed_v6_87055_0_1	NB12											
dd_Smed_v6_13492_0_1	NB12											
dd_Smed_v6_20_0_1	NB12	SMED30021545|AsxlWT_comp41924_c0_seq1|AsxlWT	99.75	793	2	0	1	793	18	810	0	1422
dd_Smed_v6_54_0_1	NB12	SMED30015310|AsxlWT_comp41897_c0_seq1|AsxlWT	99.72	726	1	1	1	726	58	782	0	1297
dd_Smed_v6_1040_0_1	NB12	SMED30015310|AsxlWT_comp41897_c0_seq1|AsxlWT	74.72	443	112	0	29	471	164	606	5.00E-79	295
dd_Smed_v6_87_0_2	NB12	SMED30015310|AsxlWT_comp41897_c0_seq1|AsxlWT	72.51	513	135	4	1	509	10	520	1.00E-73	277
dd_Smed_v6_11_0_1	NB12	SMED30005863|AsxlX1_comp70002_c0_seq1|AsxlX1	93.9	770	3	1	1	770	33	758	0	1213
dd_Smed_v6_87_0_1	NB12	SMED30000967|AsxlWT_comp63225_c0_seq1|AsxlWT	100	678	0	0	1	678	1	678	0	1223
dd_Smed_v6_32_0_1	NB12	SMED30035215|AsxlWT_comp31870_c0_seq1|AsxlWT	99.65	577	2	0	93	669	1	577	0	1032
dd_Smed_v6_743_0_1	NB12	SMED30035215|AsxlWT_comp31870_c0_seq1|AsxlWT	72.13	122	34	0	93	214	128	249	1.00E-10	68
dd_Smed_v6_361_0_1	NB12	SMED30035215|AsxlWT_comp31870_c0_seq1|AsxlWT	73.02	126	32	2	90	214	249	373	1.00E-10	68
dd_Smed_v6_994_0_1	NB12	SMED30027296|AsxlWT_comp42508_c0_seq1|AsxlWT	100	1358	0	0	1	1358	17	1374	0	2450
dd_Smed_v6_2075_0_1	NB12	SMED30027296|AsxlWT_comp42508_c0_seq1|AsxlWT	64.54	1080	366	10	202	1273	176	1246	8.00E-48	192
dd_Smed_v6_2104_0_1	NB12	SMED30015020|AsxlWT_comp50769_c0_seq1|AsxlWT	99.87	787	1	0	11	797	1	787	0	1415
dd_Smed_v6_4082_0_1	NB12	SMED30015020|AsxlWT_comp50769_c0_seq1|AsxlWT	67.88	165	53	0	243	407	264	428	7.00E-08	59
dd_Smed_v6_81_0_1	NB12	SMED30001635|AsxlWT_comp51066_c0_seq1|AsxlWT	99.82	1110	2	0	1	1110	118	1227	0	1994
dd_Smed_v6_154_0_1	NB12	SMED30013396|AsxlWT_comp51111_c0_seq1|AsxlWT	99.86	1413	2	0	1	1413	3	1415	0	2540
dd_Smed_v6_63_0_1	NB12	SMED30023751|AsxlWT_comp30299_c0_seq1|AsxlWT	99.85	668	1	0	47	714	1	668	0	1200
dd_Smed_v6_18719_0_1	NB12	SMED30023751|AsxlWT_comp30299_c0_seq1|AsxlWT	96.88	32	1	0	320	351	32	1	3.00E-06	53.6
dd_Smed_v6_245_0_1	NB12	SMED30022596|AsxlWT_comp41944_c0_seq1|AsxlWT	99.76	839	2	0	26	864	1	839	0	1505
dd_Smed_v6_1649_0_4	NB12	SMED30022596|AsxlWT_comp41944_c0_seq1|AsxlWT	69.54	151	43	1	441	588	563	713	2.00E-09	64.4
dd_Smed_v6_1649_0_3	NB12	SMED30022596|AsxlWT_comp41944_c0_seq1|AsxlWT	69.54	151	43	1	441	588	593	743	2.00E-09	64.4
dd_Smed_v6_354_0_1	NB12	SMED30018899|AsxlX1_comp74018_c0_seq1|AsxlX1	99.04	935	9	0	91	1025	1	935	0	1645
